"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","DateTime"
"66637","1/2/2007","00:00:00",0.326,0.128,243.15,1.4,0,0,0,2007-02-01 00:00:00
"66638","1/2/2007","00:01:00",0.326,0.13,243.32,1.4,0,0,0,2007-02-01 00:01:00
"66639","1/2/2007","00:02:00",0.324,0.132,243.51,1.4,0,0,0,2007-02-01 00:02:00
"66640","1/2/2007","00:03:00",0.324,0.134,243.9,1.4,0,0,0,2007-02-01 00:03:00
"66641","1/2/2007","00:04:00",0.322,0.13,243.16,1.4,0,0,0,2007-02-01 00:04:00
"66642","1/2/2007","00:05:00",0.32,0.126,242.29,1.4,0,0,0,2007-02-01 00:05:00
"66643","1/2/2007","00:06:00",0.32,0.126,242.46,1.4,0,0,0,2007-02-01 00:06:00
"66644","1/2/2007","00:07:00",0.32,0.126,242.63,1.4,0,0,0,2007-02-01 00:07:00
"66645","1/2/2007","00:08:00",0.32,0.128,242.7,1.4,0,0,0,2007-02-01 00:08:00
"66646","1/2/2007","00:09:00",0.236,0,242.89,1,0,0,0,2007-02-01 00:09:00
"66647","1/2/2007","00:10:00",0.226,0,243,1,0,0,0,2007-02-01 00:10:00
"66648","1/2/2007","00:11:00",0.224,0,242.5,1,0,0,0,2007-02-01 00:11:00
"66649","1/2/2007","00:12:00",0.224,0,242.18,1,0,0,0,2007-02-01 00:12:00
"66650","1/2/2007","00:13:00",0.224,0,242.15,1,0,0,0,2007-02-01 00:13:00
"66651","1/2/2007","00:14:00",0.224,0,242.73,1,0,0,0,2007-02-01 00:14:00
"66652","1/2/2007","00:15:00",0.26,0,242.85,1.2,0,0,0,2007-02-01 00:15:00
"66653","1/2/2007","00:16:00",0.304,0.096,242.89,1.2,0,0,0,2007-02-01 00:16:00
"66654","1/2/2007","00:17:00",0.302,0.096,242.87,1.2,0,0,0,2007-02-01 00:17:00
"66655","1/2/2007","00:18:00",0.302,0.094,242.19,1.2,0,0,0,2007-02-01 00:18:00
"66656","1/2/2007","00:19:00",0.3,0.094,242.23,1.2,0,0,0,2007-02-01 00:19:00
"66657","1/2/2007","00:20:00",0.3,0.094,242.16,1.2,0,0,0,2007-02-01 00:20:00
"66658","1/2/2007","00:21:00",0.298,0.094,242.29,1.2,0,0,0,2007-02-01 00:21:00
"66659","1/2/2007","00:22:00",0.298,0.094,242.47,1.2,0,0,0,2007-02-01 00:22:00
"66660","1/2/2007","00:23:00",0.296,0.094,242.32,1.2,0,0,0,2007-02-01 00:23:00
"66661","1/2/2007","00:24:00",0.296,0.096,242.98,1.2,0,0,0,2007-02-01 00:24:00
"66662","1/2/2007","00:25:00",0.298,0.1,243.65,1.2,0,0,0,2007-02-01 00:25:00
"66663","1/2/2007","00:26:00",0.228,0,243.55,1,0,0,0,2007-02-01 00:26:00
"66664","1/2/2007","00:27:00",0.226,0,243.11,1,0,0,0,2007-02-01 00:27:00
"66665","1/2/2007","00:28:00",0.226,0,243.09,1,0,0,0,2007-02-01 00:28:00
"66666","1/2/2007","00:29:00",0.226,0,243.05,1,0,0,0,2007-02-01 00:29:00
"66667","1/2/2007","00:30:00",0.226,0,243.22,1,0,0,0,2007-02-01 00:30:00
"66668","1/2/2007","00:31:00",0.226,0,243.37,1,0,0,0,2007-02-01 00:31:00
"66669","1/2/2007","00:32:00",0.226,0,243.14,1,0,0,0,2007-02-01 00:32:00
"66670","1/2/2007","00:33:00",0.226,0,243.12,1,0,0,0,2007-02-01 00:33:00
"66671","1/2/2007","00:34:00",0.322,0.094,242.74,1.4,0,0,0,2007-02-01 00:34:00
"66672","1/2/2007","00:35:00",0.336,0.126,242.59,1.4,0,0,0,2007-02-01 00:35:00
"66673","1/2/2007","00:36:00",0.332,0.126,242.91,1.4,0,0,0,2007-02-01 00:36:00
"66674","1/2/2007","00:37:00",0.332,0.13,243.51,1.4,0,0,0,2007-02-01 00:37:00
"66675","1/2/2007","00:38:00",0.33,0.13,243.65,1.4,0,0,0,2007-02-01 00:38:00
"66676","1/2/2007","00:39:00",0.328,0.128,243.37,1.4,0,0,0,2007-02-01 00:39:00
"66677","1/2/2007","00:40:00",0.328,0.13,243.79,1.4,0,0,0,2007-02-01 00:40:00
"66678","1/2/2007","00:41:00",0.326,0.128,243.23,1.4,0,0,0,2007-02-01 00:41:00
"66679","1/2/2007","00:42:00",0.324,0.126,242.98,1.4,0,0,0,2007-02-01 00:42:00
"66680","1/2/2007","00:43:00",0.322,0.126,242.95,1.4,0,0,0,2007-02-01 00:43:00
"66681","1/2/2007","00:44:00",0.322,0.124,242.6,1.4,0,0,0,2007-02-01 00:44:00
"66682","1/2/2007","00:45:00",0.322,0.128,243.33,1.4,0,0,0,2007-02-01 00:45:00
"66683","1/2/2007","00:46:00",0.318,0.118,241.32,1.4,0,0,0,2007-02-01 00:46:00
"66684","1/2/2007","00:47:00",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:47:00
"66685","1/2/2007","00:48:00",0.316,0.116,240.93,1.4,0,0,0,2007-02-01 00:48:00
"66686","1/2/2007","00:49:00",0.274,0.058,240.36,1.2,0,0,0,2007-02-01 00:49:00
"66687","1/2/2007","00:50:00",0.222,0,240.93,1,0,0,0,2007-02-01 00:50:00
"66688","1/2/2007","00:51:00",0.222,0,240.83,1,0,0,0,2007-02-01 00:51:00
"66689","1/2/2007","00:52:00",0.222,0,240.52,1,0,0,0,2007-02-01 00:52:00
"66690","1/2/2007","00:53:00",0.224,0,241.45,1,0,0,0,2007-02-01 00:53:00
"66691","1/2/2007","00:54:00",0.224,0,241.59,1,0,0,0,2007-02-01 00:54:00
"66692","1/2/2007","00:55:00",0.226,0,242.55,1,0,0,0,2007-02-01 00:55:00
"66693","1/2/2007","00:56:00",0.226,0,242.88,1,0,0,0,2007-02-01 00:56:00
"66694","1/2/2007","00:57:00",0.226,0,242.63,1,0,0,0,2007-02-01 00:57:00
"66695","1/2/2007","00:58:00",0.224,0,242.2,1,0,0,0,2007-02-01 00:58:00
"66696","1/2/2007","00:59:00",0.224,0,241.84,1,0,0,0,2007-02-01 00:59:00
"66697","1/2/2007","01:00:00",0.222,0,240.89,1,0,0,0,2007-02-01 01:00:00
"66698","1/2/2007","01:01:00",0.222,0,240.86,1,0,0,0,2007-02-01 01:01:00
"66699","1/2/2007","01:02:00",0.26,0,240.64,1.2,0,0,0,2007-02-01 01:02:00
"66700","1/2/2007","01:03:00",0.298,0.088,240.72,1.2,0,0,0,2007-02-01 01:03:00
"66701","1/2/2007","01:04:00",0.302,0.094,242.18,1.2,0,0,0,2007-02-01 01:04:00
"66702","1/2/2007","01:05:00",0.302,0.096,242.66,1.2,0,0,0,2007-02-01 01:05:00
"66703","1/2/2007","01:06:00",0.302,0.096,242.77,1.2,0,0,0,2007-02-01 01:06:00
"66704","1/2/2007","01:07:00",0.3,0.096,242.6,1.2,0,0,0,2007-02-01 01:07:00
"66705","1/2/2007","01:08:00",0.298,0.094,242.38,1.2,0,0,0,2007-02-01 01:08:00
"66706","1/2/2007","01:09:00",0.298,0.094,242.21,1.2,0,0,0,2007-02-01 01:09:00
"66707","1/2/2007","01:10:00",0.296,0.096,242.61,1.2,0,0,0,2007-02-01 01:10:00
"66708","1/2/2007","01:11:00",0.296,0.094,242.24,1.2,0,0,0,2007-02-01 01:11:00
